GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Airport,es.ull.passengers,Passenger,35,54,4,6,4,19,5,8,1,7
Airport,es.ull.flights,Flight,18,55,2,2,2,16,2,6,0,6
